customer_id,tenure_months,monthly_charges,contract,internet_service,tech_support,payment_method,support_tickets,churn
CX00143,22,88.93,One year,Fiber,No,Mailed check,1,0
CX00144,36,73.52,Month-to-month,Fiber,No,Electronic check,1,0
CX00145,63,43.76,Two year,Fiber,No,Credit card,2,0
CX00146,7,61.91,One year,Fiber,Yes,Electronic check,1,0
CX00147,48,62.88,Month-to-month,DSL,Yes,Credit card,3,0
CX00148,39,52.8,Month-to-month,Fiber,No,Mailed check,2,0
CX00149,10,110.47,Two year,None,Yes,Electronic check,1,0
CX00150,61,26.07,One year,None,No,Electronic check,1,0
CX00151,61,76.38,Two year,DSL,No,Electronic check,0,0
CX00152,35,75.29,Month-to-month,Fiber,Yes,Credit card,1,1
CX00153,69,55.25,Two year,Fiber,Yes,Bank transfer,2,0
CX00154,44,71.29,Two year,Fiber,Yes,Mailed check,1,0
CX00155,66,87.31,Month-to-month,DSL,No,Bank transfer,1,0
CX00156,70,71.36,Two year,Fiber,No,Bank transfer,1,0
CX00157,42,77.18,Month-to-month,None,No,Bank transfer,1,0
CX00158,21,83.24,Month-to-month,Fiber,Yes,Electronic check,1,1
CX00159,11,23.29,Month-to-month,None,No,Electronic check,1,1
CX00160,41,100.52,One year,Fiber,No,Credit card,2,1
CX00161,14,118.12,Two year,DSL,No,Electronic check,2,1
CX00162,55,89.58,Two year,Fiber,No,Mailed check,2,0
CX00163,67,90.3,Month-to-month,DSL,No,Credit card,2,0
CX00164,18,37.02,One year,Fiber,No,Credit card,1,0
CX00165,40,65.39,One year,Fiber,Yes,Mailed check,3,0
CX00166,4,50.14,Month-to-month,Fiber,No,Electronic check,2,1
CX00167,13,55.08,Two year,Fiber,Yes,Mailed check,1,0
CX00168,28,89.27,Month-to-month,DSL,No,Credit card,1,0
CX00169,64,50.31,Month-to-month,Fiber,No,Electronic check,0,0
CX00170,70,65.14,Month-to-month,None,Yes,Electronic check,3,0
CX00171,47,26.01,One year,DSL,Yes,Electronic check,3,0
CX00172,43,64.51,Two year,DSL,No,Bank transfer,2,0
CX00173,42,69.98,Month-to-month,DSL,Yes,Electronic check,2,0
CX00174,5,52.49,One year,Fiber,Yes,Credit card,1,0
CX00175,28,52.16,Month-to-month,DSL,No,Electronic check,2,0
CX00176,71,109.5,Two year,Fiber,Yes,Electronic check,1,0
CX00177,30,41.39,Month-to-month,Fiber,No,Mailed check,1,1
CX00178,16,44.89,Two year,Fiber,No,Electronic check,0,1
CX00179,18,50.2,One year,Fiber,Yes,Electronic check,0,1
CX00180,52,94.37,One year,DSL,No,Bank transfer,2,0
CX00181,3,114.23,One year,Fiber,No,Bank transfer,2,1
CX00182,70,75.31,Month-to-month,Fiber,No,Electronic check,0,1
CX00183,64,52.22,Month-to-month,Fiber,No,Credit card,2,0
CX00184,41,58.59,Month-to-month,None,Yes,Electronic check,2,0
CX00185,34,91.43,Month-to-month,Fiber,Yes,Credit card,0,0
CX00186,55,47.96,Month-to-month,Fiber,No,Electronic check,2,1
CX00187,40,99.96,Month-to-month,Fiber,No,Electronic check,2,1
CX00188,35,99.16,One year,Fiber,No,Bank transfer,1,1
CX00189,24,69.54,One year,Fiber,No,Electronic check,1,1
CX00190,33,82.21,One year,DSL,Yes,Credit card,1,0
CX00191,55,84.49,Month-to-month,None,Yes,Credit card,2,0
CX00192,4,102.19,Two year,Fiber,Yes,Electronic check,3,1
CX00193,2,44.87,Two year,None,Yes,Mailed check,0,0
CX00194,52,93.99,Month-to-month,Fiber,No,Credit card,0,1
CX00195,27,59.74,One year,DSL,No,Electronic check,1,0
CX00196,58,51.11,Two year,DSL,No,Bank transfer,1,0
CX00197,3,70.26,Month-to-month,Fiber,Yes,Bank transfer,1,0
CX00198,66,63.28,One year,None,No,Bank transfer,3,0
CX00199,9,46.28,One year,Fiber,No,Electronic check,2,1
CX00200,30,32.86,One year,DSL,Yes,Mailed check,3,0
CX00201,70,47.27,One year,None,No,Bank transfer,3,0
CX00202,8,99.95,One year,None,Yes,Credit card,1,0
CX00203,48,111.18,Month-to-month,Fiber,Yes,Bank transfer,3,1
CX00204,53,82.3,Two year,Fiber,No,Mailed check,0,0
CX00205,31,94.09,One year,DSL,No,Electronic check,3,0
CX00206,6,56.63,Month-to-month,Fiber,Yes,Credit card,0,0
CX00207,38,66.3,One year,None,Yes,Electronic check,0,0
CX00208,32,74.22,One year,Fiber,Yes,Mailed check,2,0
CX00209,63,44.21,Two year,None,Yes,Electronic check,4,0
CX00210,50,46.22,One year,DSL,Yes,Electronic check,2,0
CX00211,25,70.14,Month-to-month,DSL,Yes,Bank transfer,2,1
CX00212,5,60.95,Month-to-month,DSL,Yes,Credit card,1,1
CX00213,43,44.6,Month-to-month,Fiber,Yes,Bank transfer,0,1
CX00214,21,76.5,Month-to-month,Fiber,Yes,Credit card,0,1
CX00215,50,62.21,One year,Fiber,No,Credit card,1,0
CX00216,63,90.47,Two year,DSL,Yes,Electronic check,2,0
CX00217,26,67.89,One year,Fiber,No,Bank transfer,0,0
CX00218,66,61.39,Month-to-month,Fiber,No,Mailed check,4,0
CX00219,38,70.81,Month-to-month,None,No,Bank transfer,0,1
CX00220,39,64.22,Two year,Fiber,No,Mailed check,1,0
CX00221,56,53.3,Month-to-month,None,Yes,Bank transfer,0,0
CX00222,57,59.16,One year,Fiber,Yes,Electronic check,0,0
CX00223,66,84.49,Two year,DSL,Yes,Mailed check,2,0
CX00224,72,82.22,Two year,DSL,No,Bank transfer,0,0
CX00225,11,96.3,One year,DSL,Yes,Electronic check,0,0
CX00226,30,30.75,Two year,None,Yes,Credit card,0,0
CX00227,68,59.35,Month-to-month,DSL,No,Bank transfer,0,1
CX00228,23,58.88,Two year,None,Yes,Credit card,3,0
CX00229,1,71.78,One year,DSL,No,Mailed check,0,0
CX00230,42,58.05,Month-to-month,Fiber,No,Credit card,0,0
CX00231,55,56.71,One year,Fiber,No,Electronic check,2,0
CX00232,54,85.23,Month-to-month,Fiber,No,Electronic check,1,0
CX00233,59,71.92,Two year,DSL,No,Mailed check,0,0
CX00234,47,42.34,Month-to-month,None,Yes,Credit card,0,0
CX00235,10,97.36,One year,DSL,No,Credit card,1,0
CX00236,61,89.93,Month-to-month,Fiber,Yes,Bank transfer,2,0
CX00237,31,55.37,Month-to-month,Fiber,Yes,Credit card,1,1
CX00238,62,86.29,Month-to-month,Fiber,Yes,Electronic check,2,0
CX00239,59,51.83,Two year,Fiber,Yes,Bank transfer,4,0
CX00240,70,92.77,Month-to-month,Fiber,Yes,Bank transfer,1,0
CX00241,2,63.21,One year,Fiber,Yes,Electronic check,1,0
CX00242,63,50.34,Two year,None,Yes,Electronic check,1,0
CX00243,46,59.79,Month-to-month,Fiber,No,Mailed check,3,1
CX00244,35,51.15,One year,None,Yes,Electronic check,3,0
CX00245,58,72.23,Month-to-month,Fiber,Yes,Bank transfer,0,0
CX00246,69,71.85,One year,Fiber,No,Credit card,0,0
CX00247,37,68.79,Two year,DSL,No,Bank transfer,4,1
CX00248,7,55.75,Month-to-month,Fiber,No,Mailed check,3,1
CX00249,53,18.0,Two year,Fiber,Yes,Electronic check,3,0
CX00250,17,70.04,Month-to-month,Fiber,No,Mailed check,0,0
CX00251,17,26.28,Month-to-month,DSL,No,Mailed check,0,1
CX00252,14,73.37,Two year,None,No,Bank transfer,0,0
CX00253,15,92.88,Month-to-month,Fiber,Yes,Bank transfer,1,1
CX00254,66,74.03,Month-to-month,Fiber,No,Mailed check,2,0
CX00255,27,59.43,Month-to-month,DSL,No,Bank transfer,1,0
CX00256,8,64.04,Two year,DSL,Yes,Mailed check,2,0
CX00257,13,65.07,Two year,Fiber,No,Electronic check,2,0
CX00258,29,55.92,Month-to-month,Fiber,Yes,Electronic check,2,1
CX00259,25,55.16,Month-to-month,Fiber,No,Electronic check,0,1
CX00260,23,47.67,One year,DSL,No,Mailed check,1,0
CX00261,69,94.14,Two year,None,No,Bank transfer,0,0
CX00262,63,67.66,Month-to-month,Fiber,Yes,Bank transfer,1,0
CX00263,42,89.04,One year,None,Yes,Credit card,0,0
CX00264,72,62.5,Two year,Fiber,No,Electronic check,1,0
CX00265,25,69.59,Month-to-month,DSL,No,Bank transfer,2,1
CX00266,10,64.25,Month-to-month,Fiber,Yes,Credit card,0,1
CX00267,20,78.18,Two year,Fiber,No,Electronic check,0,0
CX00268,7,86.19,Month-to-month,Fiber,Yes,Bank transfer,2,1
CX00269,69,73.27,Month-to-month,Fiber,No,Credit card,0,0
CX00270,16,53.18,Two year,Fiber,No,Bank transfer,1,0
CX00271,33,50.84,Month-to-month,DSL,No,Electronic check,1,1
CX00272,15,104.5,One year,None,No,Electronic check,0,0
CX00273,71,61.84,Month-to-month,Fiber,Yes,Mailed check,0,0
CX00274,12,61.6,One year,DSL,No,Credit card,3,0
CX00275,38,100.23,Month-to-month,Fiber,No,Bank transfer,3,1
CX00276,69,91.93,One year,Fiber,No,Credit card,1,1
CX00277,38,79.74,Month-to-month,Fiber,No,Electronic check,3,1
CX00278,65,59.21,Two year,None,Yes,Mailed check,1,0
CX00279,65,119.77,Month-to-month,Fiber,Yes,Electronic check,0,1
CX00280,56,76.65,Two year,DSL,Yes,Bank transfer,0,0
CX00281,54,80.03,Month-to-month,DSL,Yes,Electronic check,0,0
CX00282,42,64.24,One year,DSL,No,Electronic check,1,0
CX00283,42,36.89,Month-to-month,Fiber,Yes,Electronic check,0,1
CX00284,60,38.64,One year,DSL,No,Electronic check,2,0
CX00285,31,76.95,One year,Fiber,Yes,Bank transfer,2,0
CX00286,69,76.62,Month-to-month,Fiber,No,Credit card,1,0
CX00287,64,62.72,Month-to-month,Fiber,Yes,Electronic check,1,1
CX00288,27,42.22,Two year,DSL,Yes,Mailed check,1,0
CX00289,30,36.28,Month-to-month,DSL,No,Mailed check,3,0
CX00290,52,60.79,Month-to-month,Fiber,No,Electronic check,1,0
CX00291,67,35.97,Two year,Fiber,Yes,Electronic check,1,0
CX00292,7,87.78,Month-to-month,DSL,No,Credit card,2,1
CX00293,5,93.36,Month-to-month,DSL,Yes,Electronic check,5,1
CX00294,18,130.24,Month-to-month,Fiber,No,Electronic check,2,1
CX00295,31,87.32,Month-to-month,DSL,No,Electronic check,3,1
CX00296,12,54.96,Two year,Fiber,No,Electronic check,2,0
CX00297,38,48.82,One year,None,No,Mailed check,1,0
CX00298,39,18.0,One year,DSL,No,Credit card,4,0
CX00299,69,54.91,Month-to-month,Fiber,No,Electronic check,1,1
CX00300,54,64.11,Two year,None,Yes,Mailed check,3,0
CX00301,19,89.29,Two year,None,No,Electronic check,2,0
CX00302,57,81.46,Month-to-month,Fiber,No,Credit card,2,0
CX00303,59,80.94,One year,DSL,No,Credit card,1,1
CX00304,49,72.7,Two year,Fiber,No,Bank transfer,1,0
CX00305,49,82.54,One year,Fiber,No,Credit card,2,0
CX00306,23,99.85,Two year,Fiber,No,Electronic check,1,0
CX00307,52,44.57,Month-to-month,Fiber,Yes,Credit card,4,0
CX00308,10,57.94,One year,DSL,No,Electronic check,0,0
CX00309,46,37.45,Month-to-month,DSL,Yes,Electronic check,0,0
CX00310,67,103.61,Month-to-month,None,No,Bank transfer,5,0
CX00311,70,96.53,One year,Fiber,Yes,Credit card,3,0
CX00312,22,84.55,Month-to-month,DSL,Yes,Credit card,1,0
CX00313,24,41.63,One year,Fiber,No,Electronic check,1,0
CX00314,45,71.8,One year,Fiber,Yes,Electronic check,2,0
CX00315,29,62.84,One year,DSL,Yes,Bank transfer,3,0
CX00316,53,69.78,Month-to-month,DSL,Yes,Credit card,6,0
CX00317,15,63.86,Month-to-month,DSL,Yes,Electronic check,1,1
CX00318,13,79.44,Two year,Fiber,No,Electronic check,0,0
CX00319,4,59.31,One year,Fiber,Yes,Bank transfer,2,1
CX00320,34,86.8,Month-to-month,DSL,No,Electronic check,2,1
CX00321,16,73.31,Month-to-month,DSL,No,Bank transfer,1,1
CX00322,22,61.55,Month-to-month,None,No,Electronic check,1,1
CX00323,66,65.54,Month-to-month,Fiber,Yes,Credit card,1,0
CX00324,59,58.31,Two year,Fiber,No,Credit card,2,0
CX00325,61,85.91,Month-to-month,Fiber,Yes,Mailed check,1,0
CX00326,43,62.03,Two year,DSL,No,Electronic check,2,0
CX00327,9,74.49,One year,Fiber,No,Electronic check,1,1
CX00328,54,59.37,One year,DSL,No,Mailed check,0,0
CX00329,44,35.33,One year,DSL,Yes,Credit card,1,0
CX00330,66,87.93,One year,Fiber,No,Credit card,2,0
CX00331,35,44.72,Month-to-month,Fiber,No,Electronic check,0,1
CX00332,13,82.94,Month-to-month,DSL,No,Mailed check,1,1
CX00333,43,77.24,Month-to-month,DSL,No,Electronic check,4,0
CX00334,33,31.57,Month-to-month,None,No,Electronic check,2,0
CX00335,48,47.22,Two year,DSL,Yes,Electronic check,1,0
CX00336,28,56.69,Two year,Fiber,No,Electronic check,0,0
CX00337,23,49.94,One year,Fiber,Yes,Credit card,3,0
CX00338,10,41.99,Month-to-month,None,No,Bank transfer,2,0
CX00339,70,84.28,One year,DSL,Yes,Electronic check,1,0
CX00340,55,62.73,One year,Fiber,Yes,Electronic check,1,0
CX00341,34,76.49,Month-to-month,Fiber,No,Electronic check,2,0
CX00342,17,58.53,Month-to-month,Fiber,Yes,Credit card,2,1
CX00343,46,74.72,One year,DSL,No,Bank transfer,2,0
CX00344,30,51.47,Month-to-month,DSL,No,Electronic check,2,1
CX00345,46,67.42,Month-to-month,None,Yes,Mailed check,2,0
CX00346,7,80.8,Month-to-month,DSL,Yes,Mailed check,4,0
CX00347,14,68.99,Month-to-month,Fiber,No,Bank transfer,3,1
CX00348,53,57.94,One year,None,No,Credit card,3,0
CX00349,5,44.09,Month-to-month,Fiber,No,Electronic check,1,0
CX00350,49,71.69,Two year,DSL,No,Bank transfer,1,0
CX00351,30,75.59,Two year,Fiber,Yes,Electronic check,1,0
CX00352,1,62.32,One year,Fiber,No,Electronic check,0,1
CX00353,56,51.07,One year,DSL,Yes,Mailed check,2,0
CX00354,51,79.94,Month-to-month,Fiber,No,Electronic check,1,0
CX00355,59,122.6,Month-to-month,None,No,Bank transfer,1,1
CX00356,65,61.35,One year,DSL,Yes,Credit card,0,0
CX00357,53,75.41,Month-to-month,None,No,Electronic check,3,0
CX00358,61,76.3,One year,DSL,No,Mailed check,0,0
CX00359,9,18.0,One year,DSL,No,Bank transfer,3,0
CX00360,67,70.72,Month-to-month,DSL,No,Electronic check,1,0
CX00361,66,52.46,Month-to-month,Fiber,Yes,Credit card,0,0
CX00362,50,98.46,One year,Fiber,No,Bank transfer,2,0
CX00363,58,62.41,Two year,None,No,Electronic check,0,0
CX00364,54,50.89,Month-to-month,DSL,No,Bank transfer,0,1
CX00365,64,63.19,Month-to-month,DSL,No,Bank transfer,1,0
CX00366,65,71.66,One year,Fiber,Yes,Bank transfer,1,0
CX00367,38,55.68,One year,Fiber,No,Bank transfer,1,0
CX00368,59,66.84,Month-to-month,DSL,No,Electronic check,2,0
CX00369,66,38.21,One year,Fiber,Yes,Electronic check,4,0
CX00370,22,63.04,One year,DSL,No,Bank transfer,1,0
CX00371,4,85.06,One year,Fiber,No,Mailed check,1,0
CX00372,13,111.32,One year,Fiber,No,Electronic check,0,1
CX00373,3,83.54,One year,DSL,Yes,Electronic check,0,1
CX00374,32,73.98,Month-to-month,None,No,Bank transfer,0,0
CX00375,2,94.04,Month-to-month,Fiber,No,Electronic check,2,1
CX00376,19,90.42,One year,None,Yes,Mailed check,2,0
CX00377,19,104.6,Month-to-month,DSL,No,Credit card,0,0
CX00378,51,91.82,Month-to-month,Fiber,No,Credit card,2,0
CX00379,18,65.41,Two year,Fiber,Yes,Electronic check,0,1
CX00380,69,73.69,Month-to-month,None,No,Bank transfer,2,0
CX00381,14,71.94,One year,DSL,No,Credit card,0,0
CX00382,70,74.65,Month-to-month,DSL,Yes,Bank transfer,1,0
CX00383,41,72.41,One year,Fiber,No,Electronic check,3,1
CX00384,18,50.79,One year,Fiber,Yes,Mailed check,2,0
CX00385,3,21.72,Two year,Fiber,No,Mailed check,2,1
CX00386,23,53.22,One year,DSL,No,Credit card,0,0
CX00387,43,23.43,Month-to-month,Fiber,Yes,Credit card,2,0
CX00388,8,69.5,Month-to-month,None,Yes,Electronic check,1,1
CX00389,12,68.1,Month-to-month,DSL,Yes,Bank transfer,1,1
CX00390,9,31.14,Month-to-month,Fiber,No,Bank transfer,1,1
CX00391,49,83.14,One year,Fiber,No,Bank transfer,1,0
CX00392,7,87.07,Month-to-month,None,Yes,Bank transfer,2,0
CX00393,2,70.11,Two year,DSL,No,Electronic check,0,1
CX00394,33,104.69,Month-to-month,DSL,No,Credit card,5,1
CX00395,23,109.18,One year,Fiber,No,Credit card,0,0
CX00396,42,41.47,Month-to-month,None,Yes,Electronic check,1,0
CX00397,68,90.81,One year,DSL,Yes,Electronic check,4,0
CX00398,62,77.7,One year,Fiber,Yes,Bank transfer,3,0
CX00399,39,77.2,Month-to-month,DSL,No,Bank transfer,0,1
CX00400,47,88.56,Two year,Fiber,Yes,Mailed check,2,0
CX00401,59,52.18,One year,None,No,Electronic check,5,0
CX00402,32,54.97,One year,Fiber,Yes,Credit card,2,0
CX00403,48,49.81,One year,Fiber,No,Credit card,2,0
CX00404,16,51.39,Month-to-month,DSL,No,Electronic check,2,1
CX00405,44,65.83,Two year,Fiber,No,Mailed check,1,0
CX00406,18,36.06,Month-to-month,None,No,Bank transfer,3,1
CX00407,14,44.99,Month-to-month,DSL,No,Mailed check,0,0
CX00408,55,80.71,One year,DSL,No,Credit card,1,0
CX00409,42,66.44,Two year,Fiber,Yes,Bank transfer,0,0
CX00410,28,76.43,Two year,Fiber,Yes,Mailed check,0,0
CX00411,3,26.44,One year,Fiber,Yes,Electronic check,1,0
CX00412,18,50.76,Month-to-month,Fiber,Yes,Electronic check,0,1
CX00413,58,55.78,One year,Fiber,Yes,Credit card,0,0
CX00414,34,68.72,One year,Fiber,Yes,Bank transfer,2,0
CX00415,70,55.1,Two year,DSL,Yes,Electronic check,2,0
CX00416,65,88.53,Two year,DSL,No,Credit card,1,0
CX00417,62,66.72,One year,Fiber,No,Credit card,1,0
CX00418,2,68.37,Two year,Fiber,Yes,Electronic check,0,0
CX00419,4,68.3,One year,Fiber,No,Credit card,1,0
CX00420,42,83.58,Two year,Fiber,Yes,Mailed check,0,0
